pair_id,feature_index
3102&6954,165
6954&8461,166
2206&1176,167
8651&6946,168
8361&3676,169
936&2331,170
7470&135,171
243&135,172
7005&8663,173
8640&11813,174
7452&7434,175
76079&3715,176
5147&980,177
11464&7478,178
6318&7478,179
8497&7420,180
7935&7814,181
785&7423,182
6954&7452,183
7473&69442,184
8376&8461,185
5757&3469,186
6734&10943,187
12085&7478,188
7095&6734,189
243&6944,190
7243&7935,191
3102&1493,192
11817&7434,193
4763&4754,194
1531&31344,195
931&11386,196
931&10943,197
8663&7452,198
7463&2758,199
996&7597,200
243&6950212,201
936&7479,202
11487&19318,203
8497&7433,204
785&969516,205
444539&300,206
931&6734,207
4763&2244,208
1048&67516,209
995&7109,210
6854&980,211
7452&7492,212
7452&8376,213
8461&1493,214
1493&8376,215
11817&6954,216
6734&995,217
6734&6853,218
7804&7239,219
10614&7095,220
10614&7580,221
7580&7095,222
5757&7104,223
6734&7239,224
17153&7804,225
3767&8036,226
17153&12208,227
7420&243,228
11464&243,229
11464&135,230
6318&243,231
243&7478,232
11087&6941,233
9154&31423,234
31423&9171,235
995&31423,236
9154&9171,237
9154&6734,238
995&9154,239
995&9171,240
995&77245,241
6734&11396,242
6734&7055,243
7095&6853,244
931&6853,245
931&7055,246
5147&2244,247
11334&8449,248
4685&931,249
4685&7095,250
931&7095,251
795&9257,252
3023&568,253
995&931,254
7095&568,255
7057&11883,256
8461&7452,257
7452&1493,258
6954&7434,259
8461&69442,260
11817&8376,261
7580&6734,262
7580&6853,263
6734&568,264
10614&931,265
11396&11387,266
6734&11387,267
931&11387,268
2969&3893,269
11304&11387,270
11306&11387,271
11328&11387,272
11386&11387,273
931&7239,274
5757&7123,275
8418&31423,276
243&1923,277
12021&7597,278
8651&2272,279
196&385,280
6734&8418,281
10241&8418,282
10241&568,283
16989&12208,284
7420&135,285
6108&8497,286
243&7470,287
999&300,288
8418&9171,289
931&31423,290
9154&6853,291
931&9154,292
931&9171,293
995&6853,294
995&7095,295
568&6853,296
3023&6853,297
8418&6947,298
8376&69442,299
8376&6954,300
7269&7095,301
7580&931,302
11287&11387,303
8418&2336,304
743&196,305
2758&7224,306
2758&6616,307
243&385,308
16989&7804,309
39912&3893,310
14332&12087,311
7470&7478,312
11087&8497,313
11087&6108,314
6734&7237,315
8449&6899,316
4685&10614,317
1048&795,318
1048&67519,319
795&67516,320
931&6947,321
8640&11883,322
159055&6954,323
69442&7452,324
7813&11813,325
7580&568,326
995&7580,327
904&4754,328
7269&931,329
10614&995,330
995&7239,331
2554&15070,332
385&743,333
10241&6853,334
11487&931,335
1054&938,336
126&7441,337
6318&135,338
8374&6318,339
300&6597,340
65052&243,341
7423&7452,342
1176&2244,343
7935&7452,344
69442&6954,345
14332&12073,346
10241&6734,347
13857&7804,348
6828&19318,349
12062&12087,350
12062&14332,351
7433&243,352
243&7419,353
8497&338,354
7470&300,355
6734&7269,356
931&7473,357
7095&6947,358
159055&6947,359
7813&7452,360
7269&7580,361
7269&10614,362
5757&5429,363
39912&7806,364
1054&3767,365
243&978,366
11087&338,367
243&300,368
6854&11137,369
159055&1493,370
6009&2206,371
7269&995,372
931&7474,373
5757&359,374
8651&7095,375
311&444305,376
385&6950212,377
385&11701,378
743&6950212,379
743&11701,380
6854&31423,381
6854&9154,382
6854&9171,383
7475&7434,384
7813&7492,385
7813&11883,386
6009&4754,387
243&196,388
904&1110,389
10457&6950212,390
10457&11701,391
2266&6950212,392
2266&11701,393
5757&2153,394
936&904,395
8418&6854,396
4754&2331,397
995&1493,398
978&5340,399
159055&31344,400
5994&5429,401
743&3715,402
1983&54670067,403
13857&12208,404
5192&6950212,405
5192&11701,406
7243&6947,407
8418&1493,408
931&798,409
743&243,410
6734&8651,411
798&7095,412
8497&7452,413
12073&978,414
904&8487,415
1176&11568,416
798&7055,417
8418&8461,418
995&8461,419
6853&1493,420
2337&5340,421
5757&6809,422
311&3715,423
10614&6947,424
101&6947,425
6947&7814,426
995&11813,427
101&7492,428
995&11883,429
6853&11813,430
8418&11813,431
6853&8461,432
2331&6947,433
3715&1110,434
936&12749,435
8418&7452,436
8418&11883,437
3715&525,438
3715&867,439
15074&8036,440
995&7452,441
995&7492,442
101&8461,443
8418&8376,444
4763&1983,445
1983&1176,446
904&7469,447
8062&31344,448
1176&8706,449
1493&904,450
101&7452,451
8418&7492,452
6853&11883,453
6734&11813,454
101&8376,455
5757&931,456
101&7095,457
936&3825,458
6989&931,459
6853&7452,460
6853&7492,461
785&7475,462
904&7468,463
7898&7468,464
931&999,465
931&8640,466
1183&7452,467
7005&931,468
904&7452,469
931&1183,470
11487&7005,471
6734&11883,472
7108&8663,473
931&8663,474
931&980,475
5757&7961,476
12062&12073,477
7580&6954,478
995&980,479
8418&980,480
159055&1531,481
12749&8193,482
931&996,483
931&289,484
1183&6734,485
931&16402,486
931&24250,487
8376&7929,488
7095&11137,489
7580&980,490
5757&9142,491
7270&7005,492
8062&1923,493
8062&1176,494
7095&6404,495
7270&8663,496
7580&11137,497
159055&8062,498
5757&9115,499
3715&1176,500
10614&980,501
6720&8062,502
5994&67564,503
12208&5054,504
5054&7806,505
7806&8062,506
520103&7804,507
520103&12208,508
6734&8062,509
3715&750,510
7269&8062,511
1983&9261,512
1983&525,513
1983&867,514
1983&196,515
1983&3469,516
1983&243,517
1983&5429,518
1983&1110,519
1983&444266,520
1983&5143,521
1983&7955,522
1983&5054,523
1983&795,524
1983&7005,525
1983&15074,526
1983&107983,527
1983&78092,528
2554&5281,529
2554&3672,530
2554&6322,531
2554&5962,532
2554&21059,533
2554&196,534
2554&13012726,535
2554&444266,536
2554&8567,537
2554&94220,538
2554&311,539
2554&525,540
2554&222656,541
2554&757,542
2554&6503,543
2554&875,544
2554&69021,545
2519&176,546
2519&6422,547
2519&284,548
2519&107689,549
2153&2955,550
2153&107689,551
54676228&379,552
5a4676228&444539,553
54676228&1183,554
54676228&289,555
54676228&7489,556
54676228&227,557
54676228&10394,558
54676228&445858,559
54676228&978,560
54676228&7405,561
54676228&311,562
54676228&757,563
54676228&875,564
54676228&444305,565
936&68827,566
936&5833,567
936&132999,568
936&Fragment,569
936&3885,570
936&41684,571
1986&978,572
1986&227,573
1986&243,574
1986&867,575
1986&338,576
10457&11848,577
13547920&196,578
2266&11848,579
743&5192,580
10457&196,581
599539&10457,582
76079&743,583
1046&444266,584
385&21510350,585
13547920&12736,586
743&11848,587
2266&385,588
441140&1110,589
76079&196,590
620004&2266,591
5284583&196,592
1046&222656,593
931&196,594
3957&444972,595
1046&444305,596
1110&867,597
3037582&16007367,598
3778&11756,599
222656&5327,600
5070&10457,601
4843&444972,602
620004&1110,603
1046&385,604
3715&444266,605
620004&5192,606
1110&5327,607
620004&867,608
743&21510350,609
13547920&10457,610
13547920&1110,611
5192&2266,612
12736&5192,613
599539&1110,614
743&5327,615
620004&10457,616
620004&385,617
243&11848,618
122391790&2266,619
2662&196,620
4843&743,621
5192&11848,622
1046&241062307,623
13547920&2266,624
444305&5327,625
10457&21510350,626
196&5327,627
3778&444266,628
599539&743,629
599539&12736,630
5281&10457,631
5192&385,632
3715&222656,633
10457&2266,634
5281&5192,635
5281&196,636
3778&971,637
5192&21510350,638
1046&2266,639
5192&10457,640
2266&196,641
4843&1110,642
620004&743,643
2266&21510350,644
1046&10457,645
3715&444305,646
4843&444266,647
13547920&5192,648
385&11848,649
10457&385,650
196&5192,651
620004&12736,652
3825&1110,653
1046&3037582,654
13547920&385,655
3715&196,656
444212&11370,657
444212&12091,658
444212&65052,659
444212&9968,660
444212&76079,661
444212&98487,662
444212&227,663
444212&7478,664
444212&338,665
444212&7419,666
444212&5147,667
444212&12576,668
444212&6108,669
444212&11876,670
444212&6942,671
444212&7418,672
444212&9935,673
444212&135,674
444212&11461,675
444212&9973,676
444212&7470,677
444212&11087,678
1176&11370,679
1176&12091,680
1176&9968,681
1176&1645,682
1176&98487,683
1176&69274,684
1176&227,685
1176&7478,686
1176&10704,687
1176&7419,688
1176&5147,689
1176&71572,690
1176&76959,691
1176&69253,692
1176&68000,693
1176&11876,694
1176&6942,695
1176&7418,696
1176&11461,697
1176&9973,698
1176&7470,699
936&11370,700
936&9968,701
936&1645,702
936&98487,703
936&69274,704
936&75540,705
936&7478,706
936&10704,707
936&7419,708
936&71572,709
936&76959,710
936&69253,711
936&68000,712
936&11876,713
936&6942,714
936&8497,715
54670067&11370,716
54670067&12091,717
54670067&65052,718
54670067&9968,719
54670067&76079,720
54670067&98487,721
54670067&69274,722
54670067&227,723
54670067&75540,724
54670067&7478,725
54670067&10704,726
54670067&338,727
54670067&978,728
54670067&7419,729
54670067&5147,730
54670067&71572,731
54670067&69253,732
54670067&6108,733
54670067&68000,734
54670067&11876,735
54670067&6942,736
54670067&7418,737
54670067&9935,738
54670067&8497,739
54670067&135,740
54670067&11461,741
54670067&7420,742
54670067&9973,743
54670067&7470,744
54670067&11087,745
938&11370,746
938&12091,747
938&9968,748
938&1645,749
938&76079,750
938&98487,751
938&69274,752
938&75540,753
938&7478,754
938&10704,755
938&338,756
938&7419,757
938&5147,758
938&71572,759
938&69253,760
938&6108,761
938&68000,762
938&11876,763
938&6942,764
938&7418,765
938&8497,766
938&135,767
938&11461,768
938&9973,769
938&7470,770
444972&11370,771
444972&12091,772
444972&9968,773
444972&227,774
444972&7478,775
444972&10704,776
444972&338,777
444972&978,778
444972&5147,779
444972&6108,780
444972&11876,781
444972&7418,782
444972&9935,783
444972&8497,784
444972&135,785
444972&11461,786
444972&9973,787
444972&7470,788
444972&11087,789
2519&1645,790
2519&76079,791
2519&98487,792
2519&69274,793
2519&75540,794
2519&7478,795
2519&10704,796
2519&978,797
2519&7419,798
2519&71572,799
2519&69253,800
2519&6108,801
2519&11876,802
2519&9973,803
2519&7470,804
8096&11370,805
8096&65052,806
8096&9968,807
8096&1645,808
8096&76079,809
8096&227,810
8096&75540,811
8096&7478,812
8096&10704,813
8096&338,814
8096&978,815
8096&7419,816
8096&5147,817
8096&12576,818
8096&6108,819
8096&68000,820
8096&11876,821
8096&7418,822
8096&8497,823
8096&135,824
8096&11461,825
8096&9973,826
8096&7470,827
8096&11087,828
11107&9968,829
11107&98487,830
11107&69274,831
11107&10704,832
11107&8373,833
11107&9973,834
493570&11370,835
493570&12091,836
493570&65052,837
493570&9968,838
493570&1645,839
493570&76079,840
493570&98487,841
493570&69274,842
493570&227,843
493570&75540,844
493570&7478,845
493570&10704,846
493570&338,847
493570&978,848
493570&7419,849
493570&5147,850
493570&71572,851
493570&76959,852
493570&69253,853
493570&12576,854
493570&6108,855
493570&68000,856
493570&11876,857
493570&6942,858
493570&8373,859
493570&7418,860
493570&9935,861
493570&8497,862
493570&135,863
493570&11461,864
493570&7420,865
493570&7470,866
493570&11087,867
33032&12091,868
33032&65052,869
33032&9968,870
33032&1645,871
33032&76079,872
33032&98487,873
33032&69274,874
33032&227,875
33032&75540,876
33032&7478,877
33032&10704,878
33032&338,879
33032&978,880
33032&7419,881
33032&5147,882
33032&71572,883
33032&69253,884
33032&12576,885
33032&68000,886
33032&11876,887
33032&6942,888
33032&7418,889
33032&135,890
33032&11461,891
33032&7470,892
33032&11087,893
15074&11370,894
15074&7478,895
1054&11370,896
1054&12091,897
1054&65052,898
1054&1645,899
1054&76079,900
1054&98487,901
1054&69274,902
1054&227,903
1054&75540,904
1054&7478,905
1054&10704,906
1054&338,907
1054&7419,908
1054&5147,909
1054&71572,910
1054&69253,911
1054&12576,912
1054&68000,913
1054&11876,914
1054&6942,915
1054&7418,916
1054&8497,917
1054&11461,918
1054&7420,919
1054&9973,920
1054&7470,921
1054&11087,922
971&11370,923
971&9968,924
971&7478,925
971&338,926
971&12576,927
971&6108,928
971&7418,929
971&9935,930
971&8497,931
971&135,932
971&11461,933
971&9973,934
971&7470,935
971&11087,936
338&11370,937
338&9968,938
338&76079,939
338&98487,940
338&7478,941
338&10704,942
338&978,943
338&7419,944
338&6108,945
338&68000,946
338&11876,947
338&7418,948
338&9935,949
338&11461,950
338&9973,951
338&7470,952
525&11370,953
525&9968,954
525&1645,955
525&227,956
525&75540,957
525&7478,958
525&10704,959
525&338,960
525&7419,961
525&5147,962
525&6108,963
525&11876,964
525&7418,965
525&9935,966
525&8497,967
525&135,968
525&11461,969
525&9973,970
525&7470,971
525&11087,972
2331&11370,973
2331&65052,974
2331&1645,975
2331&76079,976
2331&98487,977
2331&227,978
2331&75540,979
2331&7478,980
2331&978,981
2331&7419,982
2331&5147,983
2331&71572,984
2331&76959,985
2331&69253,986
2331&12576,987
2331&68000,988
2331&11876,989
2331&6942,990
2331&8373,991
2331&7418,992
2331&11461,993
2331&7470,994
785&12091,995
785&9968,996
785&76079,997
785&98487,998
785&227,999
785&10704,1000
785&338,1001
785&978,1002
785&7419,1003
785&5147,1004
785&71572,1005
785&6108,1006
785&11876,1007
785&6942,1008
785&7418,1009
785&9935,1010
785&8497,1011
785&135,1012
785&11461,1013
785&9973,1014
785&11087,1015
12025&9968,1016
12025&7478,1017
12025&7419,1018
12025&8373,1019
12025&7418,1020
12025&9935,1021
379&11370,1022
379&12091,1023
379&65052,1024
379&9968,1025
379&1645,1026
379&76079,1027
379&98487,1028
379&227,1029
379&75540,1030
379&7478,1031
379&10704,1032
379&338,1033
379&978,1034
379&7419,1035
379&5147,1036
379&71572,1037
379&69253,1038
379&12576,1039
379&6108,1040
379&68000,1041
379&11876,1042
379&6942,1043
379&8373,1044
379&7418,1045
379&9935,1046
379&8497,1047
379&135,1048
379&11461,1049
379&7420,1050
379&9973,1051
379&7470,1052
379&11087,1053
ABADUD,1054
ABEKUN,1055
ABELAU,1056
ABELEY,1057
ABELIC,1058
ABOQUF,1059
ABORAM,1060
ABUHIO,1061
ABULEQ,1062
ABUNOA,1063
ABUNUG,1064
ABUPES,1065
ACAGAN,1066
ACERAD,1067
ACEREH,1068
ACESAE,1069
ACESEI,1070
ACETAF,1071
ACNTCB,1072
ACNTCQ,1073
ACOFAC,1074
ACOGII,1075
ACOGOO,1076
ACOJIO,1077
ACOMOW,1078
ACOMUC,1079
ACONIR,1080
ACOPOA,1081
ACOPUG,1082
ACOYOG,1083
ACOYUM,1084
ACUDAG,1085
ACUDEK,1086
ACUDIO,1087
ADARIH,1088
ADBURM,1089
ADECIW,1090
ADETOT,1091
ADIHOK,1092
ADOFIJ,1093
ADOSBU,1094
AFABEP,1095
AFABUF,1096
AFAZAI,1097
AFEMIJ,1098
AFEQEJ,1099
AFEQIN,1100
AFEQOT,1101
AFEQUZ,1102
AFERAG,1103
AFEREK,1104
AFIGED,1105
AFIYOF,1106
AFONIV,1107
AFONOB,1108
AFONUH,1109
AFOPAP,1110
AFOPIX,1111
AFUHUG,1112
AFUROL,1113
AGASOS,1114
AGIGEE,1115
AGOPEU,1116
AGORAS,1117
AHASUX,1118
AHATAE,1119
AHATEI,1120
AHATIM,1121
AHEVIT,1122
AHEVOZ,1123
AJACOF,1124
AJAGEX,1125
AJAGIB,1126
AJAGOH,1127
AJAGUN,1128
AJAHEY,1129
AJAHIC,1130
AJAHOI,1131
AJAHUO,1132
AJAJEA,1133
AJAKAX,1134
AJAKEB,1135
AJAKUR,1136
AJALAY,1137
AJALEC,1138
AJAVAK,1139
AJEZEV,1140
AJISIX,1141
AJISOD,1142
AJOGAJ,1143
AJOGEN,1144
AJOGOX,1145
AJUXOS,1146
AJUXUY,1147
AJUYAF,1148
AJUYIN,1149
AKASAG,1150
AKASEK,1151
AKENEK,1152
AKIBOM,1153
AKIGAE,1154
AKISEU,1155
AKIXOJ,1156
AKIXUP,1157
AKIYAW,1158
AKIYEA,1159
AKOTOJ,1160
ALACAT,1161
ALAHEA,1162
ALETOC,1163
ALOLIW,1164
ALUMID,1165
ALUMOJ,1166
AMBACO01,1167
AMBSAM10,1168
AMIDEF,1169
AMIHAH,1170
AMILEN,1171
AMILOX,1172
AMILUD,1173
AMIMAK,1174
AMIMEO,1175
AMIVUO,1176
AMPCYB,1177
AMUCAO,1178
ANDRDO,1179
ANDTRD,1180
ANOLIZ,1181
ANOPUP,1182
ANOTAZ,1183
ANPHXN,1184
ANTCYB,1185
ANTPIC,1186
ANTPML,1187
ANULIF,1188
ANUMEC,1189
ANUNED,1190
ANUPIJ,1191
ANUPUV,1192
ANUQAC,1193
APAMUA,1194
APEGEI,1195
APEGIN,1196
APEGOT,1197
APEGUZ,1198
APEHEJ,1199
APEHEK,1200
APRCYP10,1201
APUTIP,1202
APYSAL,1203
AQAXUN,1204
AQIKOB,1205
AQUBAR,1206
AQUFEY,1207
ARAMOX,1208
ARAMUD,1209
ARIFOX,1210
ARIWAA,1211
ARURIQ,1212
ARUROW,1213
ARURUC,1214
ARUSEN,1215
ASAKIO,1216
ASAKOU,1217
ASAVIZ,1218
ASAVUL,1219
ASAXIB,1220
ASAXOH,1221
ASAXUN,1222
ASAYEY,1223
ASAYIC,1224
ASIJER,1225
ASIWIJ,1226
ASIZEI,1227
ASKNBZ,1228
ATEXOM,1229
ATICIP,1230
AVENOF,1231
AVESOJ,1232
AVIPEA,1233
AVIWEH,1234
AWABUW,1235
AWACEI,1236
AWACIM,1237
AWAJOX02,1238
AWEVUV,1239
AWEWAC,1240
AWEWEG,1241
AWEWIK,1242
AWEWOQ,1243
AWEXEH,1244
AWEXIL,1245
AWEXUW,1246
AWIHOE,1247
AWOJIH,1248
AWOJON,1249
AWUDEB,1250
AWUQUF,1251
AWUVEU,1252
AXAKUG,1253
AXASOH,1254
AXEJOE,1255
AXILUQ,1256
AXIMAX,1257
AXOGIE,1258
AXOGOK,1259
AXOPAF,1260
AXOPEJ,1261
AXOPIN,1262
AXORIO,1263
AXOROU,1264
AXUFUV,1265
AXUGOQ,1266
AXUNEO,1267
AXUNUE,1268
AXURUI,1269
AXUSAP,1270
AXUSET,1271
AXUSUJ,1272
AXUWAT,1273
AXUWEX,1274
AYEGAM,1275
AYEPUR,1276
AYEQAY,1277
AYIKAW,1278
AYIKOK,1279
AYILEB,1280
AYINUT,1281
AYIVIP,1282
AYIWEM,1283
AYIWIQ,1284
AYOJEF,1285
AYOROW,1286
AYOWER,1287
AYUMEN,1288
AZACEJ,1289
AZAXIK,1290
AZAXOQ,1291
AZOVUH,1292
AZUQAP,1293
BABFIV,1294
BABYOT,1295
BACQII,1296
BACQOO,1297
BACQUU,1298
BACRAB,1299
BACREF,1300
BACWUX10,1301
BADCOY10,1302
BADQOP,1303
BAFGEX,1304
BAFGIB,1305
BAFSOQ,1306
BAFTEH,1307
BAFVEJ,1308
BAFWIO,1309
BAGCAP,1310
BAGDUK,1311
BAHFEV,1312
BAHLAX10,1313
BAHXIU,1314
BAJFEX,1315
BAJRIO,1316
BAKHIE,1317
BAKLOQ,1318
BALDUO,1319
BALNAD10,1320
BAPMAH,1321
BAPRAM,1322
BAPREQ,1323
BARAAD,1324
BARAPY10,1325
BARBUR,1326
BARHMP,1327
BARIMZ10,1328
BARMIM,1329
BARMPN,1330
BASYOL,1331
BASYUR,1332
BASZAY,1333
BATDUX,1334
BATYIH,1335
BAWRAT,1336
BAXGAI,1337
BAZCLH,1338
BAZCUA,1339
BAZDAH,1340
BAZHOA,1341
BCYTGA,1342
BECNUS02,1343
BECPEH,1344
BECPOR,1345
BECPUX,1346
BECVEK,1347
BECWAJ,1348
BEDZUF,1349
BEFGIC,1350
BEFHOJ,1351
BEHKAB,1352
BEJGUT,1353
BEJPAH,1354
BEMLOV,1355
BEMLUB,1356
BEMQIW,1357
BENRIY,1358
BENWIC,1359
BEPPAN,1360
BEPYRZ10,1361
BEQWAV,1362
BERBAB,1363
BERMOA,1364
BERMOB,1365
BERNAN,1366
BERNER,1367
BERNIV,1368
BERPET,1369
BERQAQ,1370
BERQEU,1371
BERQIY,1372
BERYED,1373
BERZED,1374
BESKAM,1375
BESPEU,1376
BEVHER,1377
BEVWAA,1378
BEWFER,1379
BEWKUJ14,1380
BEWLOF,1381
BEWYOS,1382
BEYPEA,1383
BEYVAD,1384
BIBNAD,1385
BICMUX,1386
BIFFIH,1387
BIFFUT,1388
BIFGAA,1389
BIFYOE,1390
BIGCUP,1391
BIHZAU,1392
BIJFUW,1393
BIJGAD,1394
BIJWOG,1395
BIJYEY,1396
BIKHIN01,1397
BILXUP,1398
BIMSUM,1399
BINDIL,1400
BINLES,1401
BIQNEW,1402
BIRDIP,1403
BIRQUO,1404
BISBEM,1405
BISBIQ,1406
BISBOW,1407
BITBUD,1408
BITROL,1409
BITYUY,1410
BIVSIJ01,1411
BIWVUY,1412
BIXBOC,1413
BIXFOD,1414
BIYBIU10,1415
BIYGOH,1416
BIYJUR,1417
BIYNOP,1418
BIYQOS,1419
BIYSEH12,1420
BIZMAZ,1421
BIZYOA,1422
BIZYUH,1423
BNQBRP,1424
BNQCLP,1425
BOBGUX,1426
BOBQUG,1427
BOBVUL,1428
BODSAO,1429
BODSUL,1430
BOFZAY,1431
BOGGUZ,1432
BOGRIZ,1433
BOGXEB,1434
BOHGAJ,1435
BOHGEN,1436
BOHWEA,1437
BOKHAM,1438
BOKJUJ,1439
BOLSOK,1440
BOMBOW,1441
BOMBUC,1442
BOMCAJ,1443
BOMGUH,1444
BOMROM,1445
BOMTOO,1446
BOMTUU,1447
BOMVAC,1448
BOMVEG,1449
BOMVIK,1450
BOMVOQ,1451
BOMVUW,1452
BOMWAD,1453
BOMWEH,1454
BOMWIL,1455
BOMWOR,1456
BOMWUX,1457
BONGAP,1458
BONJOF,1459
BONJUL,1460
BOPDAO,1461
BOQBEO,1462
BOQDOA,1463
BOQHOE,1464
BOQNIG,1465
BORNUS,1466
BORPAA,1467
BORPII,1468
BOTCET,1469
BOTCIX,1470
BOTCOD,1471
BOTCUJ,1472
BOTDAQ,1473
BOTRIL10,1474
BOVVEP,1475
BOVVIT,1476
BOVVOZ,1477
BOVVUF,1478
BOVWAM,1479
BOVWEQ,1480
BOVWIU,1481
BOVWOA,1482
BOVWUG,1483
BOVXOB,1484
BOVYAO,1485
BOVYES,1486
BOVYIW,1487
BOVYUI,1488
BOVZAP,1489
BOWCIB,1490
BOWJEE,1491
BOWJII,1492
BOWJUU,1493
BOWKAA,1494
BOWKEF,1495
BOWPEI,1496
BOWSAJ,1497
BOXTET,1498
BPHIPH,1499
BPPFBP,1500
BTFZEP01,1501
BUCYUU01,1502
BUDQUO,1503
BUDWAY10,1504
BUDWEC,1505
BUFCEL01,1506
BUFXOP,1507
BUHSIG,1508
BUKXOU,1509
BULCAO,1510
BULHOH,1511
BULJID,1512
BULJOJ,1513
BULKAW,1514
BULKEA,1515
BULKOK,1516
BULKUQ,1517
BULLAX,1518
BULLEB,1519
BULLIF,1520
BULTUZ,1521
BULVAH,1522
BUMLEA,1523
BUMPEE,1524
BUNDIZ,1525
BUNFUN,1526
BUNGEY,1527
BUNGIC,1528
BUNGOI,1529
BUNGUO,1530
BUNHAV,1531
BUNHEZ,1532
BUNHID,1533
BUNHOJ,1534
BUNHUP,1535
BUNJAX,1536
BUNJEB,1537
BUNRAD01,1538
BUPRAF,1539
BURBAD,1540
BUREAP,1541
BUSPAG,1542
BUSQIP,1543
BUVZIC,1544
BUYSET10,1545
BZANTC10,1546
BZAPMA10,1547
BZAPRM10,1548
BZPCBQ,1549
BZPPAM,1550
BZQRES,1551
BZQTCQ10,1552
BZTCNQ,1553
CABTEG,1554
CABTIK,1555
CABTUW,1556
CABVAE,1557
CACGUK,1558
CACVAG,1559
CACVEK,1560
CACVIO,1561
CACVOU,1562
CACVUA,1563
CACWAH,1564
CAFBAR20,1565
CAFJUR,1566
CAFKAY,1567
CAFKEC,1568
CAFSAL,1569
CAFVOW,1570
CAFVUC,1571
CAFWAH,1572
CAHLON,1573
CAHLUT,1574
CAJQAG,1575
CAJQEK,1576
CAJQIO,1577
CAJQOU,1578
CAJRAH,1579
CAJRIP,1580
CAKYOE,1581
CAKZEV,1582
CALFUS,1583
CALGAZ,1584
CALKEH,1585
CAMKOT,1586
CANANP,1587
CANFUV,1588
CANGOQ,1589
CANGUW,1590
CAPKUB,1591
CAPRES,1592
CAPSAQ,1593
CAPSOE,1594
CAPTOC,1595
CARTEW,1596
CARWUP,1597
CATCIK,1598
CATGIP,1599
CATGOV,1600
CATGUB,1601
CATJUE,1602
CATKAL,1603
CATKEP,1604
CATKIT,1605
CATKUF,1606
CATNES,1607
CAVYED,1608
CAWKAP,1609
CAWPEV10,1610
CAXFIQ,1611
CAXNOE,1612
CAYGUF,1613
CEBPAA10,1614
CEBPIL,1615
CEDSEL,1616
CEFMIL,1617
CEFZEU,1618
CEGGUS,1619
CEHCAV,1620
CEHGIF,1621
CEHGOL,1622
CEHHEC,1623
CEHPUC,1624
CEJDON,1625
CEJGEG,1626
CEJPAK,1627
CEJTAM,1628
CEJVIW,1629
CEJXOE,1630
CEKBOJ,1631
CEKBUP,1632
CEKFAB,1633
CEKFUU,1634
CEKKEK,1635
CEKKOU,1636
CEKLAH,1637
CEKLEL,1638
CEKLIP,1639
CEKLOV,1640
CEKLUB,1641
CEKMAI,1642
CEKMEM,1643
CEKMIQ,1644
CEKMOW,1645
CEKMUC,1646
CEKNEN,1647
CEKNIR,1648
CEKNOX,1649
CEKPEP,1650
CEKPIT,1651
CEKPOZ,1652
CEKYUM,1653
CEMGAF,1654
CEMGEJ,1655
CEMGIN,1656
