mol1,mol2,label,pair_id,pair_id_clean,combined_text,is_missing_text,feature_index
c1ccc2cc3ccccc3cc2c1,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1,ANCTNB,ANCTNB,"结论: Yes. 关键特征: - Formation of a charge-transfer (CT) complex driven by donor–acceptor interactions between anthracene (electron donor) and 1,3,5-trinitrobenzene (electron acceptor); - Distinct melting point depression compared to the individual components, indicative of eutectic behavior; - Possible co-crystallization or phase separation depending on composition, with a well-defined eutectic composition exhibiting minimal melting temperature. 详细分析: Conclusion: Yes\n\nLikelihood: High\n\nKey Characteristics:\n- Formation of a charge-transfer (CT) complex driven by donor–acceptor interactions between anthracene (electron donor) and 1,3,5-trinitrobenzene (electron acceptor)\n- Distinct melting point depression compared to the individual components, indicative of eutectic behavior\n- Possible co-crystallization or phase separation depending on composition, with a well-defined eutectic composition exhibiting minimal melting temperature\n\nDetai",False,10
C1=Cc2ccc3C=Cc4ccc(C=C1)c2c34,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1,APANBZ,APANBZ,"结论: Yes. 关键特征: - Formation of a low-melting physical mixture with a distinct eutectic composition; - Immiscibility in the solid state but partial miscibility or favorable intermolecular interactions in the liquid phase; - Significant difference in molecular symmetry and polarity between components, promoting eutectic behavior rather than co-crystal formation. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Formation of a low-melting physical mixture with a distinct eutectic composition\n- Immiscibility in the solid state but partial miscibility or favorable intermolecular interactions in the liquid phase\n- Significant difference in molecular symmetry and polarity between components, promoting eutectic behavior rather than co-crystal formation\n\nDetailed Analysis:\nTetracyclo[7.5.2.0⁴,¹⁶.0¹²,¹⁵]hexadeca-1(14),2,4,6,8,10,12,15-octaen",False,11
O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O,c1cnccn1,1,BIYXAL,BIYXAL,"结论: Yes. 关键特征: - Significant difference in molecular symmetry and crystal packing efficiency between the two components; - Large disparity in melting points (CL-20 ≈ 240–250 °C; pyrazine ≈ 57–59 °C) enabling eutectic formation at lower temperatures; - Potential for weak intermolecular interactions (e.g., C–H···N hydrogen bonding or π-stacking) that may stabilize the liquid phase but not lead to co-crystal formation. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Significant difference in molecular symmetry and crystal packing efficiency between the two components  \n- Large disparity in melting points (CL-20 ≈ 240–250 °C; pyrazine ≈ 57–59 °C) enabling eutectic formation at lower temperatures  \n- Potential for weak intermolecular interactions (e.g., C–H···N hydrogen bonding or π-stacking) that may stabilize the liquid phase but not lead to co-crystal formation  \n\nDetailed Analysis:  \nTh",False,12
Cc1cnc(C)cn1,O=N(=O)N1C2C3N(C1C1N(C(C(N3N(=O)=O)N1N(=O)=O)N2N(=O)=O)N(=O)=O)N(=O)=O,1,BIZZAO,BIZZAO,"结论: Yes. 关键特征: - Significant difference in molecular polarity and crystal packing motifs between components; - Large disparity in melting points (2,5-dimethylpyrazine is low-melting; HHTDD is high-melting and highly energetic); - Potential for weak intermolecular interactions (e.g., van der Waals, dipole–dipole) without strong co-crystal-forming hydrogen bonds. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Significant difference in molecular polarity and crystal packing motifs between components  \n- Large disparity in melting points (2,5-dimethylpyrazine is low-melting; HHTDD is high-melting and highly energetic)  \n- Potential for weak intermolecular interactions (e.g., van der Waals, dipole–dipole) without strong co-crystal-forming hydrogen bonds  \n\nDetailed Analysis:  \n2,5-Dimethylpyrazine is a small, aromatic heterocycle with",False,13
Nc1ccc(cc1)c1ccc(N)cc1,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1,BNZTNB,BNZTNB,"结论: Yes. 关键特征: - Significant difference in melting points between the two components, enabling eutectic formation.; - Complementary intermolecular interactions (e.g., hydrogen bonding between amine groups of 4-(4-aminophenyl)aniline and nitro groups of 1,3,5-trinitrobenzene).; - Formation of a homogeneous liquid phase at a composition-specific temperature lower than the melting point of either pure component.. 详细分析: Conclusion: Yes\n\nLikelihood: High\n\nKey Characteristics:\n- Significant difference in melting points between the two components, enabling eutectic formation.\n- Complementary intermolecular interactions (e.g., hydrogen bonding between amine groups of 4-(4-aminophenyl)aniline and nitro groups of 1,3,5-trinitrobenzene).\n- Formation of a homogeneous liquid phase at a composition-specific temperature lower than the melting point of either pure component.\n\nDetailed Analysis:  \n4-(4-Aminophenyl",False,14
c1ccc2c(c1)ccc1cc3c(ccc4ccccc34)cc21,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1,BZATNB20,BZATNB20,共晶形成可能性分析: 数据缺失。需要进一步实验验证。,False,15
C1=CC2=CC=C3C=CC(=C1)N23,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1,CAZTBZ01,CAZTBZ01,"结论: Yes. 关键特征: - Formation of a low-melting homogeneous mixture below the melting points of both pure components; - Likely driven by complementary intermolecular interactions (e.g., π–π stacking and charge-transfer between electron-rich azatricyclic compound and electron-deficient trinitrobenzene); - Exhibits a sharp, well-defined melting point at the eutectic composition with no solid solution formation. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Formation of a low-melting homogeneous mixture below the melting points of both pure components  \n- Likely driven by complementary intermolecular interactions (e.g., π–π stacking and charge-transfer between electron-rich azatricyclic compound and electron-deficient trinitrobenzene)  \n- Exhibits a sharp, well-defined melting point at the eutectic composition with no solid solution formation  \n\nDetailed Analysis:  \n11-Azatricycl",False,16
N1c2ccccc2c2ccccc12,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1,CBZTNB,CBZTNB,"结论: Yes. 关键特征: - Formation of a charge-transfer (CT) complex driven by donor–acceptor interactions between electron-rich carbazole and electron-deficient trinitrobenzene; - Distinct melting point depression relative to the individual components, indicative of eutectic behavior; - Possible crystalline or amorphous solid-state structure with altered optical and electronic properties compared to pure constituents. 详细分析: Conclusion: Yes\n\nLikelihood: High\n\nKey Characteristics:\n- Formation of a charge-transfer (CT) complex driven by donor–acceptor interactions between electron-rich carbazole and electron-deficient trinitrobenzene  \n- Distinct melting point depression relative to the individual components, indicative of eutectic behavior  \n- Possible crystalline or amorphous solid-state structure with altered optical and electronic properties compared to pure constituents  \n\nDetailed Analysis:  \n9H-Carbaz",False,17
C#Cc1ccc(cc1)C#C,O=N(=O)c1ccc(cc1)N(=O)=O,1,CECPEF,CECPEF,"结论: Yes. 关键特征: - Formation of a simple eutectic system without significant intermolecular charge-transfer complexation; - Distinct melting point depression relative to the individual components; - Homogeneous solid mixture below the eutectic temperature with phase separation above it. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Formation of a simple eutectic system without significant intermolecular charge-transfer complexation  \n- Distinct melting point depression relative to the individual components  \n- Homogeneous solid mixture below the eutectic temperature with phase separation above it  \n\nDetailed Analysis:  \n1,4-Diethynylbenzene (DEB) and 1,4-dinitrobenzene (DNB) are structurally complementary aromatic compounds but differ significantly in el",False,18
NC(N)=C(N(=O)=O)N(=O)=O,c1cnc2c(c1)ccc1cccnc21,1,CEZFOF,CEZFOF,"结论: No. 关键特征: - Significant disparity in molecular polarity and hydrogen-bonding capability; - Mismatched crystal packing motifs due to structural rigidity vs. flexibility; - Large difference in melting points and thermal stability profiles. 详细分析: Conclusion: No\n\nLikelihood: Low\n\nKey Characteristics:\n- Significant disparity in molecular polarity and hydrogen-bonding capability  \n- Mismatched crystal packing motifs due to structural rigidity vs. flexibility  \n- Large difference in melting points and thermal stability profiles  \n\nDetailed Analysis:  \n2,2-Dinitroethene-1,1-diamine (also known as diaminodinitroethylene or DADNE) is a highly energetic, polar molecule featuring strong electron-withdrawing nitro groups and electron-don",False,19
Cc1cccc(N)c1N,Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,1,DIFZOK,DIFZOK,"结论: Yes. 关键特征: - Formation driven by complementary intermolecular interactions (e.g., hydrogen bonding between diamine and nitro groups); - Likely depressed melting point relative to individual components due to disrupted crystal lattice packing; - Potential for stoichiometric or non-stoichiometric composition depending on molecular compatibility. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Formation driven by complementary intermolecular interactions (e.g., hydrogen bonding between diamine and nitro groups)\n- Likely depressed melting point relative to individual components due to disrupted crystal lattice packing\n- Potential for stoichiometric or non-stoichiometric composition depending on molecular compatibility\n\nDetailed Analysis:\n3-Methylbenzene-1,2-diamine (also known as 3-methylenediaminobenzene) contains t",False,20
O=N(=O)C1=NNC(=N1)C1=NC(=NN1)N(=O)=O,NC1=NC(=NN1)N(=O)=O,1,DUKBOC,DUKBOC,"结论: Yes. 关键特征: - Significant difference in melting points between the two components, facilitating eutectic formation.; - Complementary hydrogen-bonding motifs that may promote intermolecular interactions without forming a stable co-crystal.; - Similar molecular polarity and nitro group content, enhancing miscibility in the liquid phase while maintaining distinct solid-phase identities.. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:  \n- Significant difference in melting points between the two components, facilitating eutectic formation.  \n- Complementary hydrogen-bonding motifs that may promote intermolecular interactions without forming a stable co-crystal.  \n- Similar molecular polarity and nitro group content, enhancing miscibility in the liquid phase while maintaining distinct solid-phase identities.\n\nDetailed Analysis:  \nThe two compounds—5-nitro-3-(5-",False,21
O=N(=O)C1=NNC(=N1)C1=NC(=NN1)N(=O)=O,O=N(=O)C1=NNC2=C1NN=C2N(=O)=O,1,DUKBUI,DUKBUI,"结论: Yes. 关键特征: - Significant difference in individual melting points with mutual solubility in the liquid state but limited solid-state miscibility; - Presence of complementary hydrogen-bonding motifs (e.g., N–H⋯N and N–H⋯O) enabling intermolecular interactions that stabilize the liquid phase relative to crystalline phases; - Similar molecular planarity and nitro group density promoting comparable crystal packing tendencies yet distinct enough lattice energies to discourage co-crystal formation. 详细分析: Conclusion: Yes\n\nLikelihood: High\n\nKey Characteristics:  \n- Significant difference in individual melting points with mutual solubility in the liquid state but limited solid-state miscibility  \n- Presence of complementary hydrogen-bonding motifs (e.g., N–H⋯N and N–H⋯O) enabling intermolecular interactions that stabilize the liquid phase relative to crystalline phases  \n- Similar molecular planarity and nitro group density promoting comparable crystal packing tendencies yet distinct enough ",False,22
O=N(=O)C1=CNN=C1N(=O)=O,O=N(=O)C1=NNC(=N1)C1=NC(=NN1)N(=O)=O,1,DUKCAP,DUKCAP,"结论: Yes. 关键特征: - Significant difference in molecular symmetry and crystal packing motifs between the two components, promoting mutual disruption of crystalline lattices.; - Complementary hydrogen-bonding capabilities (both molecules contain multiple N–H and nitro groups) that may facilitate intermolecular interactions without forming a stable co-crystal, favoring eutectic formation instead.; - Similar but non-identical melting points with substantial thermal stability overlap, enabling liquid-phase miscibility while maintaining solid-phase immiscibility—key for eutectic behavior.. 详细分析: Conclusion: Yes\n\nLikelihood: High\n\nKey Characteristics:\n- Significant difference in molecular symmetry and crystal packing motifs between the two components, promoting mutual disruption of crystalline lattices.\n- Complementary hydrogen-bonding capabilities (both molecules contain multiple N–H and nitro groups) that may facilitate intermolecular interactions without forming a stable co-crystal, favoring eutectic formation instead.\n- Similar but non-identical melting points with substantial",False,23
O=N(=O)c1cc(cc(c1)N(=O)=O)C#N,c1ccc2nc3ccccc3nc2c1,1,ERAFAE,ERAFAE,"结论: Yes. 关键特征: - Formation of a simple eutectic mixture without significant co-crystal or charge-transfer complex formation.; - A distinct melting point minimum at a specific composition, lower than the individual melting points of 3,5-dinitrobenzonitrile (~160–162 °C) and phenazine (~178–180 °C).; - Limited molecular interaction beyond van der Waals forces and weak dipole-induced dipole interactions due to mismatched hydrogen-bonding capabilities.. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Formation of a simple eutectic mixture without significant co-crystal or charge-transfer complex formation.\n- A distinct melting point minimum at a specific composition, lower than the individual melting points of 3,5-dinitrobenzonitrile (~160–162 °C) and phenazine (~178–180 °C).\n- Limited molecular interaction beyond van der Waals forces and weak dipole-induced dipole interactions due to mismatched hydrogen-bonding capabilities.",False,24
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,c1cc2ccc3cccc4ccc(c1)c2c34,1,FETYAE,FETYAE,"结论: Yes. 关键特征: - Distinct melting points with limited solid-state miscibility; - Favorable intermolecular interactions (e.g., π–π stacking and dipole-induced dipole) promoting liquid-phase mixing but phase separation in the solid state; - A well-defined eutectic point at a specific composition where the mixture melts at a temperature lower than either pure component. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Distinct melting points with limited solid-state miscibility  \n- Favorable intermolecular interactions (e.g., π–π stacking and dipole-induced dipole) promoting liquid-phase mixing but phase separation in the solid state  \n- A well-defined eutectic point at a specific composition where the mixture melts at a temperature lower than either pure component  \n\nDetailed Analysis:  \n2-Methyl-1,3,5-trinitrobenzene (also known as methyl",False,25
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,Nc1ccc(cc1)c1cc(cc(c1)c1ccc(N)cc1)c1ccc(N)cc1,1,FONHOH,FONHOH,"结论: Yes. 关键特征: - Significant difference in molecular symmetry and polarity between components; - Complementary intermolecular interaction potential (e.g., π–π stacking, hydrogen bonding, dipole–dipole); - Large melting point disparity facilitating eutectic formation. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Significant difference in molecular symmetry and polarity between components\n- Complementary intermolecular interaction potential (e.g., π–π stacking, hydrogen bonding, dipole–dipole)\n- Large melting point disparity facilitating eutectic formation\n\nDetailed Analysis:\n2-Methyl-1,3,5-trinitrobenzene (also known as trinitrotoluene or TNT analog with methyl at position 2) is a highly symmetric, electron-deficient aromatic compound",False,26
Nc1ccc(cc1)c1cc(cc(c1)c1ccc(N)cc1)c1ccc(N)cc1,O=N(=O)c1cccc(c1)N(=O)=O,1,FONJAV,FONJAV,"结论: Yes. 关键特征: - Formation driven by complementary intermolecular interactions (e.g., hydrogen bonding between amine groups of the triarylamines and nitro groups of dinitrobenzene).; - Likely to exhibit a depressed melting point relative to either pure component due to disrupted crystal lattice packing.; - May display distinct solid-state stoichiometry or exist as a non-stoichiometric physical mixture depending on phase behavior.. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:  \n- Formation driven by complementary intermolecular interactions (e.g., hydrogen bonding between amine groups of the triarylamines and nitro groups of dinitrobenzene).  \n- Likely to exhibit a depressed melting point relative to either pure component due to disrupted crystal lattice packing.  \n- May display distinct solid-state stoichiometry or exist as a non-stoichiometric physical mixture depending on phase behavior.\n\nDetailed ",False,27
O=N(=O)C1=NNC=N1,CC(C)N1N=C(N=C1N(=O)=O)N(=O)=O,1,FUFSOQ,FUFSOQ,"结论: Yes. 关键特征: - Formation of a low-melting mixture below the melting points of both pure components due to limited solid-state miscibility.; - Likely hydrogen-bonding interactions between the acidic N–H group of 5-nitro-1H-1,2,4-triazole and nitro groups or ring nitrogens of 3,5-dinitro-1-propan-2-yl-1,2,4-triazole in the liquid phase, stabilizing the melt but not enabling co-crystal formation.; - Distinct thermal behavior observable via DSC (differential scanning calorimetry), showing a single sharp endotherm at the eutectic temperature.. 详细分析: Conclusion: Yes\n\nLikelihood: Medium\n\nKey Characteristics:\n- Formation of a low-melting mixture below the melting points of both pure components due to limited solid-state miscibility.\n- Likely hydrogen-bonding interactions between the acidic N–H group of 5-nitro-1H-1,2,4-triazole and nitro groups or ring nitrogens of 3,5-dinitro-1-propan-2-yl-1,2,4-triazole in the liquid phase, stabilizing the melt but not enabling co-crystal formation.\n- Distinct thermal behavior observable via DSC (diff",False,28
Cc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,[O-][N+]1=C2C(=NO1)C1=[N+]([O-])ON=C1C1=[N+]([O-])ON=C21,1,GEXMAZ,GEXMAZ,"结论: No. 关键特征: - Significant disparity in molecular symmetry and crystal packing motifs; - Large difference in intermolecular interaction profiles (ionic vs. neutral); - Incompatible melting behavior due to decomposition of the second compound. 详细分析: Conclusion: No\n\nLikelihood: Low\n\nKey Characteristics:\n- Significant disparity in molecular symmetry and crystal packing motifs  \n- Large difference in intermolecular interaction profiles (ionic vs. neutral)  \n- Incompatible melting behavior due to decomposition of the second compound  \n\nDetailed Analysis:  \nThe first molecule, 2-methyl-1,3,5-trinitrobenzene, is a neutral organic compound—specifically a substituted aromatic nitro compound—with moderate polarity, capable of forming π–π s",False,29
[O-][N+]1=C2C(=NO1)C1=[N+]([O-])ON=C1C1=[N+]([O-])ON=C21,O=N(=O)c1cc(cc(c1)N(=O)=O)N(=O)=O,1,GEXMED,GEXMED,"结论: No. 关键特征: - Significant disparity in molecular symmetry and crystal packing motifs; - Large difference in melting points and intermolecular interaction profiles; - Incompatible hydrogen-bonding and charge distribution patterns. 详细分析: Conclusion: No\n\nLikelihood: Low\n\nKey Characteristics:\n- Significant disparity in molecular symmetry and crystal packing motifs  \n- Large difference in melting points and intermolecular interaction profiles  \n- Incompatible hydrogen-bonding and charge distribution patterns  \n\nDetailed Analysis:  \nThe first compound, 3,8,13-trioxido-4,9,14-trioxa-5,10,15-triaza-3,8,13-triazoniatetracyclo[10.3.0.0²,⁶.0⁷,¹¹]pentadeca-1(15),2,5,7,10,12-hexaene, is a highly complex, polycyclic, cationic hete",False,30
Nc1c(cc(cc1N(=O)=O)N(=O)=O)N(=O)=O,[O-][N+]1=C2C(=NO1)C1=[N+]([O-])ON=C1C1=[N+]([O-])ON=C21,1,GEXMIH,GEXMIH,"结论: No. 关键特征: - Significant disparity in molecular symmetry and crystal packing motifs; - Extreme differences in intermolecular interaction profiles (ionic vs. neutral); - Incompatible melting behavior due to decomposition versus stable melting. 详细分析: Conclusion: No\n\nLikelihood: Low\n\nKey Characteristics:\n- Significant disparity in molecular symmetry and crystal packing motifs  \n- Extreme differences in intermolecular interaction profiles (ionic vs. neutral)  \n- Incompatible melting behavior due to decomposition versus stable melting  \n\nDetailed Analysis:  \n2,4,6-Trinitroaniline is a neutral organic molecule featuring strong electron-withdrawing nitro groups attached to an aromatic amine. It is known to be thermally unstable and typi",False,31
